"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"2801","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,6,0,"Almost empty","Yes"
"2802","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,NA
"2803","2017-04-01","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","Yes"
"2804","2017-04-01","Yes","No","Multiple options",NA,NA,NA,7,NA,"Half-full","Yes"
"2805","2017-04-01","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"2806","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2807","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost empty","Yes"
"2808","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Almost full","No"
"2809","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"2810","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2811","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2812","2017-04-01","No","No","Empty and reuse",NA,NA,NA,7,NA,"Almost full","Yes"
"2813","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"2814","2017-04-01","No","No","Abandone",NA,NA,NA,NA,8,"Full","Yes"
"2815","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","No"
"2816","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,0,8,"Full","Yes"
"2817","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full",NA
"2818","2017-04-01","No","Other (please specify)","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"2819","2017-04-01","Yes","Yes","Empty and reuse",NA,"Very affordable",NA,5,NA,"Almost empty","Yes"
"2820",NA,"No","No","Bury and dig another one",NA,NA,NA,1,0,"Almost full","Yes"
"2821","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2822","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2823","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost full","Yes"
